tconst,primary_title,start_year,genres,averagerating,studio,domestic_gross,year
tt1216491,Kill the Messenger,2014,"Biography,Crime,Drama",7.0,Focus,2500000.0,2014
tt1216492,Leap Year,2010,"Comedy,Romance",6.5,Uni.,25900000.0,2010
tt1217209,Brave,2012,"Adventure,Animation,Comedy",7.1,BV,237300000.0,2012
tt1219289,Limitless,2011,"Mystery,Sci-Fi,Thriller",7.4,Rela.,79200000.0,2011
tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,2010,"Action,Adventure,Animation",7.0,WB,55700000.0,2010
tt1220634,Resident Evil: Afterlife,2010,"Action,Adventure,Horror",5.9,SGem,60100000.0,2010
tt1220888,Henry's Crime,2010,"Comedy,Crime,Drama",6.0,MPFT,103000.0,2011
tt1222815,Chimpanzee,2012,Documentary,7.2,BV,29000000.0,2012
tt1222817,Zookeeper,2011,"Comedy,Family,Romance",5.2,Sony,80400000.0,2011
tt1223236,African Cats,2011,"Adventure,Documentary",7.6,BV,15400000.0,2011
tt1226229,Get Him to the Greek,2010,"Adventure,Comedy,Music",6.4,Uni.,61000000.0,2010
tt1226240,A Late Quartet,2012,"Drama,Music",7.1,EOne,1600000.0,2012
tt1226273,Edge of Darkness,2010,"Crime,Drama,Mystery",6.6,WB,43300000.0,2010
tt1226753,The Debt,2010,"Drama,Thriller",6.9,Focus,31200000.0,2011
tt1226837,Beautiful Boy,2018,"Biography,Drama",7.3,Anch.,77200.0,2011
tt1228705,Iron Man 2,2010,"Action,Adventure,Sci-Fi",7.0,Par.,312400000.0,2010
tt1228987,Let Me In,2010,"Drama,Fantasy,Horror",7.1,Over.,12100000.0,2010
tt1229238,Mission: Impossible - Ghost Protocol,2011,"Action,Adventure,Thriller",7.4,Par.,209400000.0,2011
tt1229340,Anchorman 2: The Legend Continues,2013,Comedy,6.3,Par.,125200000.0,2013
tt1229822,Jane Eyre,2011,"Drama,Romance",7.4,Focus,11200000.0,2011
tt1230120,Collide,2010,Action,5.5,ORF,2300000.0,2017
tt1231583,Due Date,2010,"Adventure,Comedy",6.5,WB,100500000.0,2010
tt1231586,A Good Old Fashioned Orgy,2011,"Comedy,Romance",6.2,Gold.,200000.0,2011
tt1231587,Hot Tub Time Machine,2010,"Comedy,Sci-Fi",6.4,MGM,50300000.0,2010
tt1232200,That's My Boy,2012,Comedy,5.6,Sony,36900000.0,2012
tt1232829,21 Jump Street,2012,"Action,Comedy,Crime",7.2,Sony,138400000.0,2012
