primary_title,genres,studio,domestic_gross,year
Taken 3,"Action,Thriller",Fox,89300000.0,2015
The Lone Ranger,"Action,Adventure,Western",BV,89300000.0,2013
Oblivion,"Action,Adventure,Sci-Fi",Uni.,89100000.0,2013
The Muppets,"Adventure,Comedy,Family",BV,88600000.0,2011
Miss Peregrine's Home for Peculiar Children,"Adventure,Drama,Fantasy",Fox,87200000.0,2016
Sisters,Comedy,Uni.,87000000.0,2015
The Campaign,Comedy,WB,86900000.0,2012
The Accountant,"Action,Crime,Drama",WB,86300000.0,2016
Dumb and Dumber To,"Adventure,Comedy",Uni.,86200000.0,2014
The Emoji Movie,"Adventure,Animation,Comedy",Sony,86100000.0,2017
Alvin and the Chipmunks: The Road Chip,"Adventure,Animation,Comedy",Fox,85900000.0,2015
Real Steel,"Action,Drama,Family",BV,85500000.0,2011
Green Book,"Biography,Comedy,Drama",Uni.,85100000.0,2018
Ferdinand,"Adventure,Animation,Comedy",Fox,84400000.0,2017
"Crazy, Stupid, Love.","Comedy,Drama,Romance",WB,84400000.0,2011
Wrath of the Titans,"Action,Adventure,Fantasy",WB,83700000.0,2012
Penguins of Madagascar,"Adventure,Animation,Comedy",Fox,83400000.0,2014
Saving Mr. Banks,"Biography,Comedy,Drama",BV,83300000.0,2013
Smallfoot,"Adventure,Animation,Comedy",WB,83200000.0,2018
Turbo,"Adventure,Animation,Comedy",Fox,83000000.0,2013
Let's Be Cops,"Comedy,Crime",Fox,82400000.0,2014
The Post,"Biography,Drama,History",Fox,81900000.0,2017
Maze Runner: The Scorch Trials,"Action,Sci-Fi,Thriller",Fox,81700000.0,2015
Unstoppable,"Action,Thriller",Fox,81600000.0,2010
Ted 2,Comedy,Uni.,81500000.0,2015
Eat Pray Love,"Drama,Romance",Sony,80600000.0,2010
Zookeeper,"Comedy,Family,Romance",Sony,80400000.0,2011
Goosebumps,"Adventure,Comedy,Family",Sony,80100000.0,2015
War Horse,"Drama,History,War",BV,79900000.0,2011
Dark Shadows,"Comedy,Fantasy,Horror",WB,79700000.0,2012
The Purge: Election Year,"Action,Horror,Sci-Fi",Uni.,79200000.0,2016
Pixels,"Action,Comedy",Sony,78700000.0,2015
Tower Heist,"Action,Comedy,Crime",Uni.,78000000.0,2011
The Monuments Men,"Comedy,Drama,History",Sony,78000000.0,2014
Parental Guidance,"Comedy,Family",Fox,77300000.0,2012
The A-Team,"Action,Adventure,Thriller",Fox,77200000.0,2010
Alice Through the Looking Glass,"Adventure,Family,Fantasy",BV,77000000.0,2016
The Intern,,WB,75800000.0,2015
Contagion,"Action,Drama,Thriller",WB,75700000.0,2011
Moneyball,"Biography,Drama,Sport",Sony,75600000.0,2011
2 Guns,"Action,Comedy,Crime",Uni.,75600000.0,2013
We Bought a Zoo,"Comedy,Drama,Family",Fox,75600000.0,2011
